UserID,MovieID,Rating,Timestamp,Title,Genres,Gender,Age,Occupation,Zip-code
1,1193,5,978300760,One Flew Over the Cuckoo's Nest (1975),Drama,F,1,10,48067
1,1035,5,978301753,"Sound of Music, The (1965)",Musical,F,1,10,48067
1,2791,4,978302188,Airplane! (1980),Comedy,F,1,10,48067
2,1792,3,978299941,U.S. Marshalls (1998),Action|Thriller,M,56,16,70072
2,1610,5,978299809,"Hunt for Red October, The (1990)",Action|Thriller,M,56,16,70072
2,1188,4,978299620,Strictly Ballroom (1992),Comedy|Romance,M,56,16,70072
2,1690,3,978300051,Alien: Resurrection (1997),Action|Horror|Sci-Fi,M,56,16,70072
2,1193,5,978298413,One Flew Over the Cuckoo's Nest (1975),Drama,M,56,16,70072
5,1610,4,978245645,"Hunt for Red October, The (1990)",Action|Thriller,M,25,20,55455
5,2580,4,978242607,Go (1999),Crime,M,25,20,55455
5,1500,3,978245314,Grosse Pointe Blank (1997),Comedy|Crime,M,25,20,55455
5,357,2,978245829,Four Weddings and a Funeral (1994),Comedy|Romance,M,25,20,55455
6,1035,5,978237767,"Sound of Music, The (1965)",Musical,F,50,9,55117
6,1188,4,978236771,Strictly Ballroom (1992),Comedy|Romance,F,50,9,55117
6,597,5,978239019,Pretty Woman (1990),Comedy|Romance,F,50,9,55117
7,1610,5,978234786,"Hunt for Red October, The (1990)",Action|Thriller,M,35,1,06810
8,3155,3,978232231,Anna and the King (1999),Drama|Romance,M,25,12,11413
9,597,3,978226473,Pretty Woman (1990),Comedy|Romance,M,25,17,61614
9,1500,4,978226123,Grosse Pointe Blank (1997),Comedy|Crime,M,25,17,61614
10,1690,4,978230253,Alien: Resurrection (1997),Action|Horror|Sci-Fi,F,35,1,95370
10,597,4,978224375,Pretty Woman (1990),Comedy|Romance,F,35,1,95370
10,2826,4,978230540,"13th Warrior, The (1999)",Action|Horror|Thriller,F,35,1,95370
10,357,5,979167887,Four Weddings and a Funeral (1994),Comedy|Romance,F,35,1,95370
10,1035,5,979775485,"Sound of Music, The (1965)",Musical,F,35,1,95370
10,3155,5,978224705,Anna and the King (1999),Drama|Romance,F,35,1,95370
10,2791,4,978224705,Airplane! (1980),Comedy,F,35,1,95370
11,1188,4,978220319,Strictly Ballroom (1992),Comedy|Romance,F,25,1,04093
11,597,3,978220521,Pretty Woman (1990),Comedy|Romance,F,25,1,04093
11,2580,5,978220030,Go (1999),Crime,F,25,1,04093
11,357,1,978903395,Four Weddings and a Funeral (1994),Comedy|Romance,F,25,1,04093
11,2791,4,978903186,Airplane! (1980),Comedy,F,25,1,04093
12,1193,4,978220179,One Flew Over the Cuckoo's Nest (1975),Drama,M,25,12,32793
13,1690,3,978202057,Alien: Resurrection (1997),Action|Horror|Sci-Fi,M,45,1,93304
13,10,3,978201884,GoldenEye (1995),Action|Adventure|Thriller,M,45,1,93304
13,1610,3,978201761,"Hunt for Red October, The (1990)",Action|Thriller,M,45,1,93304
14,2826,2,978200645,"13th Warrior, The (1999)",Action|Horror|Thriller,M,35,0,60126
15,1193,4,978199279,One Flew Over the Cuckoo's Nest (1975),Drama,M,25,7,22903
15,1500,3,978212166,Grosse Pointe Blank (1997),Comedy|Crime,M,25,7,22903
15,2826,4,978196348,"13th Warrior, The (1999)",Action|Horror|Thriller,M,25,7,22903
15,2763,3,978196866,"Thomas Crown Affair, The (1999)",Action|Thriller,M,25,7,22903
15,357,1,978198125,Four Weddings and a Funeral (1994),Comedy|Romance,M,25,7,22903
15,1610,4,978198169,"Hunt for Red October, The (1990)",Action|Thriller,M,25,7,22903
