predicted_gender,confidence,male_prob,female_prob,ground_truth,correct,movie_title,genre,sample_id,v0,v1,v2,dist_v0_v1,dist_v0_v2,proxy_ratio,is_proxy_p
Male,0.7185943982824885,0.7185943982824885,0.28140560171751144,Male,True,Robocop,Action,11,"[ 0.671875   -1.6875     -1.65625    ... -0.890625    0.07617188
 -0.22070312]","[ 0.41210938 -1.5546875  -0.640625   ... -0.82421875  0.91015625
  0.5390625 ]","[ 0.44726562 -1.5703125  -0.6328125  ... -0.9140625   0.71875
  0.6484375 ]",30.531497955322266,30.95924949645996,0.9861834005036705,True
Male,0.731058573739949,0.731058573739949,0.2689414262600511,Male,True,Dick Tracy,Action,16,"[ 0.33203125 -1.171875   -0.5859375  ... -0.57421875  0.49609375
  0.296875  ]","[-0.00390625 -1.109375   -0.30273438 ... -0.89453125  0.921875
  0.85546875]","[ 0.015625   -1.140625   -0.4609375  ... -1.046875    0.67578125
  0.86328125]",34.3699836730957,34.13974380493164,1.0067440417658717,True
Male,0.7057850173365652,0.7057850173365652,0.2942149826634348,Male,True,High Plains Drifter,Western,21,"[ 0.20800781 -0.59765625 -1.203125   ... -0.6171875   0.5546875
  0.38867188]","[-0.34765625 -0.57421875  0.32617188 ... -0.13476562  0.7265625
  0.3671875 ]","[-0.30664062 -0.578125    0.50390625 ... -0.25195312  0.4140625
  0.5859375 ]",34.69924545288086,34.771846771240234,0.9979120657923023,True
Male,0.7185943982824885,0.7185943982824885,0.28140560171751144,Male,True,Encino Man,Comedy,23,"[ 0.41796875 -0.9921875  -0.734375   ... -0.33984375 -1.0625
  0.8125    ]","[ 0.12402344 -1.078125   -0.15917969 ... -0.46875     0.5703125
  0.4609375 ]","[ 0.23339844 -1.1171875  -0.26367188 ... -0.421875    0.44921875
  0.5859375 ]",38.72452163696289,37.678165435791016,1.0277708900842666,True
Male,0.7185943982824885,0.7185943982824885,0.28140560171751144,Male,True,Howard the Duck,Adventure,24,"[ 0.23535156 -1.4140625  -0.640625   ...  0.20214844 -0.44921875
  0.00195312]","[ 0.01953125 -1.1015625  -0.1953125  ... -0.62890625  0.6015625
  0.828125  ]","[ 0.03710938 -1.109375   -0.28320312 ... -0.796875    0.43164062
  0.87890625]",36.87348556518555,36.49073791503906,1.010488898331756,True
Male,0.7431679988546758,0.7431679988546758,0.25683200114532423,Male,True,"Good, The Bad and The Ugly, The",Action,27,"[ 0.55078125 -0.9375     -1.59375    ... -0.890625    0.60546875
  0.34375   ]","[ 0.8828125  -0.71875    -1.296875   ... -1.0078125   0.42382812
  0.44335938]","[ 0.8125     -0.66015625 -1.1328125  ... -1.015625    0.44921875
  0.5703125 ]",19.541534423828125,19.94765281677246,0.9796407925047066,True
Male,0.7185943982824885,0.7185943982824885,0.28140560171751144,Male,True,Lethal Weapon 2,Action,39,"[ 0.41992188 -1.265625   -1.59375    ... -0.8671875   0.66796875
 -0.13378906]","[ 0.09765625 -1.390625   -0.33789062 ... -0.87890625  0.7578125
  0.625     ]","[ 0.15039062 -1.421875   -0.31640625 ... -1.          0.6875
  0.7265625 ]",31.821578979492188,32.50205612182617,0.979063566022592,True
Male,0.7057850173365652,0.7057850173365652,0.2942149826634348,Male,True,Yellow Submarine,Animation,42,"[ 0.38671875 -0.94921875  0.078125   ...  0.46289062 -0.04980469
  0.18554688]","[ 0.5859375  -1.15625     0.18261719 ... -0.3828125   0.3515625
  0.578125  ]","[ 0.6328125  -1.25        0.17285156 ... -0.453125    0.21875
  0.734375  ]",29.860671997070312,29.15146827697754,1.0243282329078973,True
Male,0.754914989238764,0.754914989238764,0.24508501076123604,Female,False,"Patriot, The",Action,46,"[ 0.83984375 -0.96875    -0.984375   ... -0.9765625   0.19042969
  0.6875    ]","[ 0.85546875 -0.62890625 -0.90234375 ... -1.2890625   0.5546875
  0.9140625 ]",[ 0.859375  -0.625     -0.8984375 ... -1.296875   0.5        1.046875 ],23.4366397857666,23.27458381652832,1.006962786550605,False
Male,0.7662936356289387,0.7662936356289387,0.2337063643710613,Male,True,Stripes,Comedy,47,"[ 0.546875   -0.8203125  -1.375      ... -0.32226562 -0.16015625
  0.23828125]","[ 0.265625   -1.0859375  -0.13867188 ... -0.6328125   0.45703125
  0.57421875]","[ 0.31835938 -1.171875   -0.33203125 ... -0.69140625  0.41015625
  0.73046875]",38.43672180175781,39.028160095214844,0.9848458574049458,True
